project_id,student_id,project_name,project_type,stars,contributors,complexity,technologies,description
PRJ00019,STU0342,Smart Attendance System,internship,89,19,advanced,"Python, Firebase",Player recognize true power next behind firm cause skin very husband recently seek find him research indicate energy know this his catch pretty establish role.
PRJ00020,STU0494,Face Recognition System,hackathon,112,11,beginner,"Python, Machine Learning",Wonder two those assume laugh choice build model issue director study and.
PRJ00021,STU0054,Smart Attendance System,academic,131,8,beginner,"Python, Firebase",Little course factor perform again son use myself billion market investment side especially note account professional ask term discover these report develop.
PRJ00022,STU0328,Data Analytics Dashboard,personal,124,20,beginner,"Python, Data Science, SQL",Move training produce population can quite adult red may east yourself wait work ago traditional manager personal still meeting choose likely drop career live writer enough treat.
PRJ00023,STU0123,Smart Attendance System,hackathon,101,7,intermediate,"Python, Firebase",Lawyer wish these key end nice their local would everyone region daughter learn talk age require quite throw international most group son moment develop author skill.
PRJ00024,STU0095,Online Examination System,academic,97,1,beginner,"Java, SQL",Sound them run research professional role official recognize tough play city test value movement main add dark big.
PRJ00025,STU0184,AI Resume Analyzer,academic,41,10,intermediate,"Python, FastAPI, Machine Learning",Third build southern cut animal school shoulder effort yet class report voice news and data similar effort interest another south decide artist turn audience.
PRJ00026,STU0100,AI Chatbot,hackathon,16,1,beginner,"Python, FastAPI, Machine Learning",Assume civil similar despite character section leave fall degree close customer a employee act college who ask dog himself answer center cost nothing.
PRJ00027,STU0102,Food Delivery Application,personal,61,9,advanced,"React, Node.js, MongoDB",Actually stay day true research stage sound bed agreement raise above main floor.
PRJ00028,STU0090,Face Recognition System,personal,50,7,beginner,"Python, Machine Learning",Right ask rate authority girl paper deep bar safe teach interview outside first nearly sort job form sense security how.
PRJ00029,STU0091,Online Examination System,hackathon,30,1,advanced,"Java, SQL",Wait itself appear decision check piece they material address management program son whom hold chair official anything daughter cell community.
PRJ00030,STU0071,Hospital Management System,academic,91,7,intermediate,"Java, SQL",Soon represent good stuff heart even alone no other break every morning better a six or any perform cup product five culture yet material treatment wide certainly.
PRJ00031,STU0234,Data Analytics Dashboard,hackathon,100,6,advanced,"Python, Data Science, SQL",Some eight whole military deal notice security ability red through include before still financial film plan interview without four young debate kind continue side air beautiful about build.
PRJ00032,STU0410,Cloud File Manager,internship,21,4,beginner,"React, Firebase",Idea themselves wonder party party respond these thousand sign clear probably determine address air environmental put everything maintain that travel feel between.
PRJ00033,STU0452,DevOps Deployment Platform,personal,53,7,advanced,"Docker, Git, Node.js",Mind say letter arm become truth return picture already writer factor war probably model if better full sort get each energy decision such husband practice project middle.
PRJ00034,STU0194,Expense Tracker,hackathon,86,20,intermediate,"React, Node.js, MongoDB",Mother possible area citizen thought outside fish follow sea result end set approach forward after deep language north sense.
PRJ00035,STU0326,Data Analytics Dashboard,academic,53,18,intermediate,"Python, Data Science, SQL",Four right finish candidate after address do instead worry exist with bank medical wait the point push.
PRJ00036,STU0405,Student Management System,hackathon,68,2,advanced,"Java, SQL",Bar leave cut couple experience land life attack away plant last mean short goal police ten put great series voice behavior.
PRJ00037,STU0408,Food Delivery Application,personal,135,19,intermediate,"React, Node.js, MongoDB",Air goal population day window once its traditional product may professional thing.
PRJ00038,STU0108,Expense Tracker,academic,125,20,beginner,"React, Node.js, MongoDB",Here season myself win like official simply price that already another money least protect data late black list economic church send.
PRJ00039,STU0086,Portfolio Website,internship,135,12,intermediate,"HTML/CSS, JavaScript",Authority tree science they measure author production cut at successful represent friend.
PRJ00040,STU0266,Smart Attendance System,personal,87,12,advanced,"Python, Firebase",Direction job though new hear member sure throughout item result agent seem see process four consumer ability along old.
PRJ00041,STU0356,Smart Attendance System,internship,126,9,advanced,"Python, Firebase",Receive region article treat sign me even television artist among throw animal history fly citizen individual born sometimes voice church challenge weight base gun yourself share customer.
PRJ00042,STU0206,AI Chatbot,academic,58,8,beginner,"Python, FastAPI, Machine Learning",Stop prevent compare begin wind theory current end effect yes compare amount majority list price million walk through human.
PRJ00043,STU0232,Online Examination System,personal,106,7,intermediate,"Java, SQL",Election write painting who why little six peace process whom class relate camera a evening likely sure pull hard particular.
PRJ00044,STU0218,DevOps Deployment Platform,internship,45,12,intermediate,"Docker, Git, Node.js",Public music election within owner require operation TV morning threat country shake everybody play especially ability fine next half stage well.
PRJ00045,STU0282,E-Commerce Platform,personal,26,10,intermediate,"JavaScript, React, Node.js, SQL",Both head child must floor represent there mission international letter particularly top.
PRJ00046,STU0266,Face Recognition System,personal,15,15,advanced,"Python, Machine Learning",Modern west term worry half someone left together agent star agent sign if result true.
PRJ00047,STU0319,Face Recognition System,internship,120,15,intermediate,"Python, Machine Learning",Old financial radio change take expert need ever state trial animal would both book.
PRJ00048,STU0210,Face Recognition System,internship,86,9,intermediate,"Python, Machine Learning",Smile represent team window remember season history because arm back site save must seem safe draw eight key white speech statement wife difficult pull day get.
PRJ00049,STU0013,Student Management System,internship,64,9,advanced,"Java, SQL",Break but one expect me relate speech want teacher your about school effect north drive truth population because entire.
PRJ00050,STU0039,Face Recognition System,academic,80,17,advanced,"Python, Machine Learning",Word hundred step focus star computer suggest check late cause whole pick PM character attorney service low indicate rather true example during environment I age free child.
PRJ00051,STU0280,AI Chatbot,academic,75,8,beginner,"Python, FastAPI, Machine Learning",Mission reach product democratic discussion skin less commercial station return PM air senior necessary list team purpose can president assume.
PRJ00052,STU0061,E-Commerce Platform,hackathon,14,18,beginner,"JavaScript, React, Node.js, SQL",Clear who tell less purpose south goal off hotel radio serious industry everybody owner culture policy believe group today.
PRJ00053,STU0171,Data Analytics Dashboard,hackathon,69,10,advanced,"Python, Data Science, SQL",Feeling second town open vote trade kitchen to shoulder window clear everyone number.
PRJ00054,STU0418,Recommendation System,hackathon,53,20,beginner,"Python, Machine Learning, Data Science",Price phone black resource student party choose loss interesting sister check fast speak if say coach four capital history glass executive director computer say.
PRJ00055,STU0438,Recommendation System,hackathon,7,10,intermediate,"Python, Machine Learning, Data Science",Agreement behavior stock can walk end continue fear expect nature stage exist partner brother represent officer sometimes pay bed difference week study marriage fish.
PRJ00056,STU0422,Face Recognition System,internship,108,19,advanced,"Python, Machine Learning",Service theory scientist heavy thing light entire friend relate life however support visit year.
PRJ00057,STU0007,Smart Attendance System,personal,106,8,beginner,"Python, Firebase",Be official require perform lose book become data consumer each carry score class bed sign current nature thank science stand clearly yet per his raise structure.
PRJ00058,STU0371,Expense Tracker,personal,126,8,advanced,"React, Node.js, MongoDB",How someone rule TV I explain magazine tough voice political network collection difficult Democrat hear father stuff north also both truth analysis suffer various.
PRJ00059,STU0301,Recommendation System,internship,123,11,beginner,"Python, Machine Learning, Data Science",Smile writer true industry word number surface exactly development reach make should support present to partner.
PRJ00060,STU0161,Online Examination System,personal,114,14,beginner,"Java, SQL",Where leave final game state speech population soon thank another toward policy kid report fund security agreement that physical prepare.
PRJ00061,STU0225,Smart Attendance System,academic,100,5,advanced,"Python, Firebase",Situation religious single affect successful special professor amount necessary interesting movie pay describe very fly debate military mouth else I information option walk civil arm his whose.
PRJ00062,STU0448,Student Management System,hackathon,7,16,advanced,"Java, SQL",Responsibility sound food and small house better fall how practice wide west explain him must identify wear.
PRJ00063,STU0428,Face Recognition System,hackathon,62,14,intermediate,"Python, Machine Learning",Against rather generation simple star bit data will whole wear continue only paper southern happen Congress energy white outside could call politics range move public state.
PRJ00064,STU0352,Recommendation System,internship,142,10,intermediate,"Python, Machine Learning, Data Science",Themselves customer activity end bring break yet reason evidence hundred above lead only if more whatever positive director throw wrong well.
PRJ00065,STU0301,AI Resume Analyzer,academic,40,5,intermediate,"Python, FastAPI, Machine Learning",School tell list third successful despite leader clearly of while company whether.
PRJ00066,STU0291,AI Chatbot,internship,102,7,intermediate,"Python, FastAPI, Machine Learning",While when name truth mention response determine firm policy look green long person dog leg partner employee star serious interview issue program enter.
PRJ00067,STU0033,Portfolio Website,internship,53,16,beginner,"HTML/CSS, JavaScript",School economy pick area will party hotel guy sort benefit fight cut standard street imagine why research wide before recently travel minute ground yes war light not.
PRJ00068,STU0169,Cloud File Manager,internship,82,3,beginner,"React, Firebase",Only would ask buy us week institution ask fly explain put interest radio car rather say smile good actually hand eye others military his end even.
PRJ00069,STU0054,AI Chatbot,personal,13,20,intermediate,"Python, FastAPI, Machine Learning",Friend response director raise around become save message church paper mean price production local lead raise.
PRJ00070,STU0014,Student Management System,personal,22,13,intermediate,"Java, SQL",Environmental rule doctor spring usually agreement pressure same describe modern finish soldier difficult.
PRJ00071,STU0106,Data Analytics Dashboard,hackathon,139,3,intermediate,"Python, Data Science, SQL",Treatment animal computer bring investment officer field agency already lay process friend industry relate party.
PRJ00072,STU0030,Face Recognition System,academic,48,11,intermediate,"Python, Machine Learning",Sister rich may good paper book our risk mean pull past major long rate peace serious yet rest offer major outside land where usually.
PRJ00073,STU0201,Student Management System,academic,38,18,intermediate,"Java, SQL",Citizen quickly everything project role black stand teach opportunity tell customer animal your agree nothing.
PRJ00074,STU0245,Expense Tracker,academic,104,7,beginner,"React, Node.js, MongoDB",More bed employee central usually mouth food cold fish next stage would.
PRJ00075,STU0446,Data Analytics Dashboard,hackathon,115,16,beginner,"Python, Data Science, SQL",Beat responsibility very soon paper he avoid force nature range leave difficult fish prevent lot official remember reason ask treat deal today increase friend accept.
PRJ00076,STU0310,Cloud File Manager,hackathon,56,17,advanced,"React, Firebase",Bed move vote itself type either push pick follow get paper rise game huge north.
PRJ00077,STU0351,Smart Attendance System,hackathon,56,1,beginner,"Python, Firebase",Financial manager have ahead option home ball claim necessary image main left medical star crime loss let strategy increase chair think seem peace.
PRJ00078,STU0229,E-Commerce Platform,internship,68,17,intermediate,"JavaScript, React, Node.js, SQL",Mouth key cause stay wife create agreement trade responsibility situation among toward finish of time everyone movie face small wide as yes.
PRJ00079,STU0467,Cloud File Manager,internship,122,15,advanced,"React, Firebase",Address draw hot sort young simply operation evidence happen choice price continue successful brother plan approach according usually us notice help four section.
PRJ00080,STU0021,Expense Tracker,academic,78,15,intermediate,"React, Node.js, MongoDB",Sit special method seven sound part day design begin should bank least note.
PRJ00081,STU0359,Online Examination System,hackathon,105,20,beginner,"Java, SQL",Actually police among whom particular upon improve there practice source drive media learn.
PRJ00082,STU0213,Data Analytics Dashboard,personal,115,15,intermediate,"Python, Data Science, SQL",Charge mouth deep result lead assume cell push during power parent group appear believe box feeling close social upon ability staff become.
PRJ00083,STU0467,AI Chatbot,personal,150,4,intermediate,"Python, FastAPI, Machine Learning",Experience Congress administration huge fire analysis feeling tax employee town professional discuss least option believe star research always design defense teach after cut buy no plant.
PRJ00084,STU0358,AI Resume Analyzer,personal,45,9,advanced,"Python, FastAPI, Machine Learning",Daughter west leg rich bank southern war you note college within scene place choose prepare second life action town century the walk stage.
PRJ00085,STU0276,Food Delivery Application,academic,60,16,intermediate,"React, Node.js, MongoDB",Ahead two unit eight already feel relationship although talk ever sister quality resource identify feeling where push through if behavior must that case power never weight.
PRJ00086,STU0391,Portfolio Website,academic,99,3,beginner,"HTML/CSS, JavaScript",Control along data through wonder stay step Mr dark smile down issue drive consider ahead PM watch baby mother you city.
PRJ00087,STU0259,Recommendation System,hackathon,109,15,beginner,"Python, Machine Learning, Data Science",Owner surface opportunity detail often administration who watch sell western player could understand front remain event reflect speech.
PRJ00088,STU0130,Data Analytics Dashboard,academic,123,1,beginner,"Python, Data Science, SQL",Edge up suffer wide look certain report marriage others shoulder today value most city firm animal new.
PRJ00089,STU0328,Expense Tracker,internship,102,11,advanced,"React, Node.js, MongoDB",Capital together send customer movement their professional talk century receive them whom economic tend bad clearly hold evening during.
PRJ00090,STU0205,Online Examination System,personal,106,2,beginner,"Java, SQL",National pass project identify job what day century star personal news pressure determine measure car time century personal avoid sure want explain Republican science.
PRJ00091,STU0129,E-Commerce Platform,personal,88,15,intermediate,"JavaScript, React, Node.js, SQL",Current safe education leave church hit move standard affect long movie decade same share effort television clear hand dog American language.
PRJ00092,STU0237,E-Commerce Platform,academic,145,8,advanced,"JavaScript, React, Node.js, SQL",Future also war career believe board hit you gun test among visit term exactly money impact people.
PRJ00093,STU0487,Smart Attendance System,personal,125,9,beginner,"Python, Firebase",Fly pick in note ago both clearly sport Congress listen for ago whether work west item imagine apply growth son.
PRJ00094,STU0088,Online Examination System,academic,30,6,intermediate,"Java, SQL",Chance reality board develop relationship face create every establish teacher easy paper allow environmental final again phone be room.
PRJ00095,STU0064,Portfolio Website,internship,48,3,advanced,"HTML/CSS, JavaScript",Year industry create another anyone both two item decade interest in military may finish catch I beyond expect where second down style democratic.
PRJ00096,STU0391,AI Resume Analyzer,hackathon,44,15,intermediate,"Python, FastAPI, Machine Learning",Season size worry college TV run general gas behind those or war again relationship writer.
PRJ00097,STU0092,Data Analytics Dashboard,academic,141,7,intermediate,"Python, Data Science, SQL",Civil sense movement above front he forget move describe them much agent guess.
PRJ00098,STU0357,AI Resume Analyzer,academic,104,10,intermediate,"Python, FastAPI, Machine Learning",Fire different finally risk enjoy true late heart rock them staff eight despite success wrong policy early whose guy everybody picture.
PRJ00099,STU0027,Cloud File Manager,academic,17,13,beginner,"React, Firebase",Various perhaps debate quality bank they amount this raise new yes that.
PRJ00100,STU0476,Data Analytics Dashboard,hackathon,66,7,beginner,"Python, Data Science, SQL",Can morning benefit remember huge as coach meeting right remain agreement than wide key loss data least I phone approach allow clearly nothing similar.
PRJ00101,STU0009,Hospital Management System,academic,8,11,beginner,"Java, SQL",Begin pretty lead career Democrat quality address read candidate hotel couple why check deal account white anyone number service economy list someone magazine if.
PRJ00102,STU0349,AI Chatbot,academic,61,4,advanced,"Python, FastAPI, Machine Learning",Smile just receive boy technology wonder base director tell without all agree bed different like.
PRJ00103,STU0086,Expense Tracker,personal,16,14,advanced,"React, Node.js, MongoDB",There phone beyond similar offer various see fine institution manager get game our with manage adult.
PRJ00104,STU0056,Online Examination System,hackathon,87,18,advanced,"Java, SQL",Foot simple same commercial trial word yeah we level trade suddenly itself probably parent according especially reflect kid bit thank agreement.
PRJ00105,STU0098,Cloud File Manager,personal,143,13,intermediate,"React, Firebase",Smile training amount four wife I particularly television keep case popular spend let modern Mrs common while different.
PRJ00106,STU0062,Data Analytics Dashboard,personal,32,12,intermediate,"Python, Data Science, SQL",Positive sign young century partner sometimes design break raise leave election song ball product lose go option value far mean president yourself break material.
PRJ00107,STU0089,AI Resume Analyzer,internship,85,1,intermediate,"Python, FastAPI, Machine Learning",Technology analysis response significant particular always industry improve American them give lot skill time follow meet executive necessary idea else center.
PRJ00108,STU0109,Smart Attendance System,personal,21,9,advanced,"Python, Firebase",South east open group then information young probably each instead only usually foot visit Democrat week notice building rest none firm difficult force address moment fall.
PRJ00109,STU0320,Face Recognition System,academic,22,7,intermediate,"Python, Machine Learning",Democrat power business your pass old far throw meeting government sometimes itself age.
PRJ00110,STU0155,Recommendation System,internship,31,18,advanced,"Python, Machine Learning, Data Science",Trial road money these agent animal put treat paper everybody hard back part or we for community simply design major mother include degree test structure.
PRJ00111,STU0088,Food Delivery Application,academic,88,13,advanced,"React, Node.js, MongoDB",Keep join add start might hospital wonder join crime station impact guy young himself institution peace paper.
PRJ00112,STU0474,Recommendation System,personal,90,6,advanced,"Python, Machine Learning, Data Science",Pay why list myself before have during show audience style issue set sport business argue popular point animal radio focus difference hospital require economy mean.
PRJ00113,STU0390,DevOps Deployment Platform,hackathon,128,3,intermediate,"Docker, Git, Node.js",Such seven challenge someone short that really eye future local today reality throw many expert federal party deep cell offer worker occur those very rock something.
PRJ00114,STU0010,Cloud File Manager,internship,102,17,advanced,"React, Firebase",Spend off deal including add safe husband rest over blue rise day himself animal statement nor up send.
PRJ00115,STU0380,Data Analytics Dashboard,academic,64,1,advanced,"Python, Data Science, SQL",Wall determine up be show where order personal shoulder campaign size nearly interview add other research tax pressure draw at trip mother feel authority available kid just decade.
PRJ00116,STU0389,DevOps Deployment Platform,academic,84,8,advanced,"Docker, Git, Node.js",Sit pattern then key film own probably finish security wish continue across represent poor word board group particularly crime arrive forget majority.
PRJ00117,STU0220,Recommendation System,personal,25,2,beginner,"Python, Machine Learning, Data Science",Unit also example plan cover under southern anyone herself story guy total officer spend despite player value about form.
PRJ00118,STU0192,Smart Attendance System,hackathon,56,5,intermediate,"Python, Firebase",All lay whose choice whose last important everybody contain arrive order central some current father performance.
PRJ00119,STU0105,AI Chatbot,academic,65,20,intermediate,"Python, FastAPI, Machine Learning",Put only seat rise organization character if federal kitchen trouble form along trade up book out feeling economy some think spring among painting.
PRJ00120,STU0379,DevOps Deployment Platform,hackathon,39,9,intermediate,"Docker, Git, Node.js",International agreement what might party ago movie sport station although claim capital.
PRJ00121,STU0330,Recommendation System,academic,138,14,advanced,"Python, Machine Learning, Data Science",Fear society state popular information fire try indeed hour real outside set why despite anyone population.
PRJ00122,STU0417,Food Delivery Application,academic,63,11,intermediate,"React, Node.js, MongoDB",Marriage allow college cell necessary yes country region third west lot than growth help hundred fire pretty figure trial thought always discover some government woman special return.
PRJ00123,STU0125,Data Analytics Dashboard,academic,68,8,advanced,"Python, Data Science, SQL",Feel human answer chair business truth end stay reflect today police rule necessary.
PRJ00124,STU0447,Hospital Management System,hackathon,51,15,advanced,"Java, SQL",Executive material conference ago play wait kitchen base understand see lot course fact everyone stop market own administration.
PRJ00125,STU0004,E-Commerce Platform,internship,22,7,beginner,"JavaScript, React, Node.js, SQL",These right probably direction herself risk save bit memory policy box red as because dog save source late theory person.
PRJ00126,STU0325,Student Management System,personal,37,3,beginner,"Java, SQL",Step matter at sometimes attorney campaign decade situation discover building hotel course bed now see sell four six program.
PRJ00127,STU0304,Portfolio Website,personal,65,17,beginner,"HTML/CSS, JavaScript",To notice around of music its food firm food scientist scene should Democrat sometimes finish message possible.
PRJ00128,STU0219,Expense Tracker,internship,84,6,advanced,"React, Node.js, MongoDB",High image take a cost military him let skin officer unit economic pretty focus model medical return become turn party.
PRJ00129,STU0102,Data Analytics Dashboard,internship,50,20,beginner,"Python, Data Science, SQL",Act provide fight health college something create technology major avoid mention nothing tell black body too important provide make treat sort feeling skin cut.
PRJ00130,STU0156,Food Delivery Application,internship,56,9,intermediate,"React, Node.js, MongoDB",Protect source already within good customer main anyone feel better father resource hit.
PRJ00131,STU0041,Face Recognition System,internship,101,6,intermediate,"Python, Machine Learning",Along history early to for white customer per down truth yet rule rock necessary prove your member improve behavior stop ability.
PRJ00132,STU0226,Hospital Management System,internship,44,16,beginner,"Java, SQL",Property tax however his out agree explain night reflect compare sport until bag yeah must card.
PRJ00133,STU0391,Hospital Management System,internship,26,10,advanced,"Java, SQL",Sit task if collection data opportunity operation require return far suffer power.
PRJ00134,STU0276,Student Management System,personal,70,13,intermediate,"Java, SQL",Down fight base person industry down almost near information nothing attention model song on bit agreement prevent blue popular single must but take much apply.
PRJ00135,STU0157,Smart Attendance System,hackathon,101,18,advanced,"Python, Firebase",Pass price sure happen then allow east international every fear charge class miss color follow control road better world themselves buy partner media past most.
PRJ00136,STU0247,E-Commerce Platform,hackathon,39,16,beginner,"JavaScript, React, Node.js, SQL",Letter building example cup sure situation perhaps process issue memory right key treat nature term spend.
PRJ00137,STU0080,DevOps Deployment Platform,personal,6,1,advanced,"Docker, Git, Node.js",True north federal way a you one million PM hit those exist cell year two stuff art.
PRJ00138,STU0374,Expense Tracker,hackathon,130,13,intermediate,"React, Node.js, MongoDB",Public case develop road beyond southern certain key pressure nothing music because success food.
PRJ00139,STU0482,Hospital Management System,hackathon,103,16,intermediate,"Java, SQL",Eat capital city wait church return sell affect decision resource movie car wear reality away trade certainly instead word wall energy before tough child list pay.
PRJ00140,STU0329,Cloud File Manager,academic,109,2,beginner,"React, Firebase",About piece few forward within while ok modern serious north keep include my although be address director physical expect major huge heavy.
PRJ00141,STU0198,DevOps Deployment Platform,personal,54,14,intermediate,"Docker, Git, Node.js",Receive service alone detail beyond tax own mention growth person culture summer vote not back pretty public direction source talk since road.
PRJ00142,STU0395,DevOps Deployment Platform,hackathon,135,16,advanced,"Docker, Git, Node.js",Expert apply college defense pretty team agree process cultural natural recent development and movie important marriage.
PRJ00143,STU0353,Face Recognition System,academic,103,14,advanced,"Python, Machine Learning",Financial material reflect weight visit physical day accept husband whom home concern throughout score certainly person clearly statement mention industry actually total to member would ahead.
PRJ00144,STU0127,Data Analytics Dashboard,internship,13,12,advanced,"Python, Data Science, SQL",Maintain among ten large future message summer spring true increase kid very.
PRJ00145,STU0362,AI Chatbot,academic,42,9,advanced,"Python, FastAPI, Machine Learning",Law why tree unit Republican admit kid shake throw drug room page available prevent reason Republican voice let of treat civil agency recent black pay.
PRJ00146,STU0234,AI Chatbot,personal,70,8,advanced,"Python, FastAPI, Machine Learning",Role eight local responsibility chance rock doctor follow effort but mention start citizen partner discuss.
PRJ00147,STU0297,AI Chatbot,personal,8,4,beginner,"Python, FastAPI, Machine Learning",Something forward article quite prevent can yard leg break near population field occur effort traditional life send food cut good serious pressure behavior within simply short.
PRJ00148,STU0330,Expense Tracker,internship,106,19,beginner,"React, Node.js, MongoDB",Of campaign next purpose against finish join near exactly meet Congress break speech letter at cover bad memory total key.
PRJ00149,STU0266,DevOps Deployment Platform,personal,113,6,intermediate,"Docker, Git, Node.js",Decide full mother eye subject whatever personal sense certainly third edge tough leave western value blood same technology listen everybody foot serve indicate say citizen about effort.
PRJ00150,STU0130,Expense Tracker,hackathon,133,18,advanced,"React, Node.js, MongoDB",Save sometimes tell fish your realize party care floor population else much side benefit wear marriage chair fear.
PRJ00151,STU0454,Hospital Management System,hackathon,110,3,beginner,"Java, SQL",Five mouth head need sit machine hospital small sometimes both hard long hot least eight front section.
PRJ00152,STU0326,Cloud File Manager,hackathon,41,9,advanced,"React, Firebase",Policy fact half enter term believe put southern plan against wear find inside opportunity adult far whether test color until organization science someone poor time job.
PRJ00153,STU0108,DevOps Deployment Platform,internship,83,1,beginner,"Docker, Git, Node.js",Nor money network painting authority meeting own foot gas live into common myself light fire parent likely behind believe face hope newspaper best.
PRJ00154,STU0418,Smart Attendance System,academic,29,3,advanced,"Python, Firebase",And mouth north debate for president message young product shake magazine tonight address.
PRJ00155,STU0214,Portfolio Website,internship,78,14,beginner,"HTML/CSS, JavaScript",Action enjoy out middle house already nature include law father return feel court part.
PRJ00156,STU0091,Face Recognition System,personal,39,7,intermediate,"Python, Machine Learning",Image production serve brother soldier across attention race animal remember let child into fast apply compare.
PRJ00157,STU0094,Portfolio Website,academic,120,19,beginner,"HTML/CSS, JavaScript",Page when another resource factor account start material yard house though all.
PRJ00158,STU0096,Data Analytics Dashboard,academic,51,7,intermediate,"Python, Data Science, SQL",Fact foreign thank maintain ahead add back country wait morning game walk such finish traditional college smile situation conference.
PRJ00159,STU0462,Online Examination System,internship,117,20,beginner,"Java, SQL",On strategy according reality camera collection specific forward case can sea official analysis want officer model whatever unit several this half guess capital cold arm source owner.
PRJ00160,STU0445,AI Chatbot,personal,25,10,beginner,"Python, FastAPI, Machine Learning",Happen audience campaign also computer can recognize live professional sell decade ask old operation determine control.
PRJ00161,STU0194,E-Commerce Platform,hackathon,21,11,beginner,"JavaScript, React, Node.js, SQL",Low full present whose yourself chair truth year effect which boy issue.
PRJ00162,STU0300,Data Analytics Dashboard,internship,129,4,beginner,"Python, Data Science, SQL",Major type view drive road particularly save result rather fear not base defense remain clear work special over.
PRJ00163,STU0032,Food Delivery Application,academic,15,4,beginner,"React, Node.js, MongoDB",Itself question everyone final foreign everything wrong share into recent fill challenge or similar data exactly movement with great heart section.
PRJ00164,STU0268,Recommendation System,academic,101,20,advanced,"Python, Machine Learning, Data Science",Dinner take history ahead network base shoulder candidate health up throughout yes.
PRJ00165,STU0493,Recommendation System,hackathon,129,16,intermediate,"Python, Machine Learning, Data Science",Radio but card if image oil information above all audience sea commercial party across eight third center carry material.
PRJ00166,STU0310,Hospital Management System,hackathon,99,11,intermediate,"Java, SQL",Drop clear early fear reveal area very north number today again whether difference though nor major lot join development pick bring reduce.
PRJ00167,STU0419,Data Analytics Dashboard,hackathon,107,13,advanced,"Python, Data Science, SQL",Under name boy executive anyone receive measure a seek capital product staff right resource seek red tough quickly exist voice less important growth successful fund our say open.
PRJ00168,STU0030,Face Recognition System,hackathon,30,1,intermediate,"Python, Machine Learning",Trial response instead early campaign especially camera call ever offer prepare crime firm cold describe huge player go arrive special.
PRJ00169,STU0446,Expense Tracker,internship,40,1,advanced,"React, Node.js, MongoDB",Role guess song rise onto understand animal half foreign office southern stop ok dark position.
PRJ00170,STU0063,Online Examination System,hackathon,68,12,intermediate,"Java, SQL",Fine grow while either end school education book list take drive some player.
PRJ00171,STU0317,AI Chatbot,internship,136,14,advanced,"Python, FastAPI, Machine Learning",Today floor phone player contain stage goal expect green if attention factor story ten white wrong something away should traditional happen career citizen image response must.
